amount,evidence_score,policy_conflict,expected_risk
0,1.0,false,L0
0,1.0,true,L0
0,0.95,false,L0
0,0.95,true,L0
0,0.89,false,L0
0,0.89,true,L0
0,0.6,false,L0
0,0.6,true,L0
0,0.59,false,L0
0,0.59,true,L0
1,1.0,false,L1
1,1.0,true,L3
1,0.95,false,L1
1,0.95,true,L3
1,0.89,false,L2
1,0.89,true,L3
1,0.6,false,L2
1,0.6,true,L3
1,0.59,false,L3
1,0.59,true,L3
5000,1.0,false,L1
5000,1.0,true,L3
5000,0.95,false,L1
5000,0.95,true,L3
5000,0.89,false,L2
5000,0.89,true,L3
5000,0.6,false,L2
5000,0.6,true,L3
5000,0.59,false,L3
5000,0.59,true,L3
5000.01,1.0,false,L2
5000.01,1.0,true,L3
5000.01,0.95,false,L2
5000.01,0.95,true,L3
5000.01,0.89,false,L2
5000.01,0.89,true,L3
5000.01,0.6,false,L2
5000.01,0.6,true,L3
5000.01,0.59,false,L3
5000.01,0.59,true,L3
50000,1.0,false,L2
50000,1.0,true,L3
50000,0.95,false,L2
50000,0.95,true,L3
50000,0.89,false,L2
50000,0.89,true,L3
50000,0.6,false,L2
50000,0.6,true,L3
50000,0.59,false,L3
50000,0.59,true,L3
50000.01,1.0,false,L3
50000.01,1.0,true,L3
50000.01,0.95,false,L3
50000.01,0.95,true,L3
50000.01,0.89,false,L3
50000.01,0.89,true,L3
50000.01,0.6,false,L3
50000.01,0.6,true,L3
50000.01,0.59,false,L3
50000.01,0.59,true,L3
-1,1.0,false,L2
-1,1.0,true,L3
-1,0.95,false,L2
-1,0.95,true,L3
-1,0.89,false,L2
-1,0.89,true,L3
-1,0.6,false,L2
-1,0.6,true,L3
-1,0.59,false,L3
-1,0.59,true,L3
-5000,1.0,false,L2
-5000,1.0,true,L3
-5000,0.95,false,L2
-5000,0.95,true,L3
-5000,0.89,false,L2
-5000,0.89,true,L3
-5000,0.6,false,L2
-5000,0.6,true,L3
-5000,0.59,false,L3
-5000,0.59,true,L3
