All checks passed!
{"timestamp": "2026-09-12T02:59:55.971648Z", "level": "WARNING", "logger": "revguard.api", "message": "REVGUARD_ENABLE_LEGACY_TOOL_API=true：仅允许历史 Evidence Principal 复放只读工具"}
{"timestamp": "2026-09-12T02:59:58.998079Z", "level": "WARNING", "logger": "revguard.api", "message": "录制 WebUI 尚未构建：/workspace/demo-ui/dist/client"}
{"timestamp": "2026-09-12T03:00:05.743085Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-2A7E6502", "method": "POST", "path": "/api/v1/cases/CASE-2026-0008/team/run", "status_code": 202, "duration_ms": 23, "trace_id": "c0cab532e9675c271b275bc7a544082f", "span_id": "ba765ccb8f3e2ce0"}
{"timestamp": "2026-09-12T03:00:05.748594Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-0E1DD2F7", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 409, "duration_ms": 1, "trace_id": "daddb104aa733b6f8ff1e9e3a249500c", "span_id": "e0d3fbf956dc3c8c"}
{"timestamp": "2026-09-12T03:00:05.754628Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-D0656EC1", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 409, "duration_ms": 4, "trace_id": "04b701ce659ed289147adf43f7f2710b", "span_id": "0bf357b3657a8da3"}
{"timestamp": "2026-09-12T03:00:06.048925Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-AFE7028B", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 503, "duration_ms": 2, "trace_id": "e8f4ef59bdbf97d4838dcee4256ad7c8", "span_id": "3b7ada9c7cbe36e9"}
{"timestamp": "2026-09-12T03:00:06.053056Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-BDB7BC6E", "method": "POST", "path": "/api/v1/cases/CASE-2026-0008/team/run", "status_code": 503, "duration_ms": 1, "trace_id": "02b7f67fbf625c9c8c50c92ac351047c", "span_id": "a613dec9e43e4f59"}
{"timestamp": "2026-09-12T03:00:06.056783Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-B0FC7267", "method": "POST", "path": "/api/v1/cases/CASE-2026-0008/human-action/assertion", "status_code": 503, "duration_ms": 1, "trace_id": "c828ffcdd79de8d5303ce4025285aa36", "span_id": "fe91565f2b59707a"}
{"timestamp": "2026-09-12T03:00:06.063845Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-D1FFEEB4", "method": "GET", "path": "/api/v1/cases", "status_code": 200, "duration_ms": 5, "trace_id": "4d933e6b4ce6974c4367770634e0320b", "span_id": "012d903a7bec7bd8"}
{"timestamp": "2026-09-12T03:00:06.067437Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-783BF033", "method": "GET", "path": "/api/v1/health/live", "status_code": 200, "duration_ms": 1, "trace_id": "5647d1dfdbc72f36dd7b414fd5429d5a", "span_id": "345035eb4525e5ca"}
{"timestamp": "2026-09-12T03:00:06.070333Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-8317B629", "method": "GET", "path": "/api/v1/health", "status_code": 200, "duration_ms": 1, "trace_id": "e3eb2f04d8ef98dca33faa842422c9f9", "span_id": "b7747c66934b10d0"}
{"timestamp": "2026-09-12T03:00:06.073581Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-77DBD7A8", "method": "GET", "path": "/api/v1/health/ready", "status_code": 503, "duration_ms": 1, "trace_id": "aca93d4dcfed1224dd4b3e86212f72f1", "span_id": "e3dccf31bdde321b"}
{"timestamp": "2026-09-12T03:00:06.081263Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-71AEBEF3", "method": "GET", "path": "/api/v1/health", "status_code": 200, "duration_ms": 2, "trace_id": "e20e1f338748c4c75d9babbdb171a531", "span_id": "526427ec3d0d6a36"}
