pitr-recovery-1  | waiting for server to start....2026-09-18 21:23:44.837 CST [20] LOG:  polar_vfs loaded in postmaster 20
pitr-recovery-1  | 2026-09-18 21:23:44.837 CST [20] LOG:  Database will be in readwrite mode
pitr-recovery-1  | 2026-09-18 21:23:44.837 CST [20] LOG:  pfs in localfs mode
pitr-recovery-1  | 2026-09-18 21:23:44.837 CST [20] LOG:  polar_vfs init done
pitr-recovery-1  | 2026-09-18 21:23:44.839 CST [20] LOG:  "polar_settings.conf" is copied from sharedstorage success, additional load it.
pitr-recovery-1  | 2026-09-18 21:23:44.843 CST [20] LOG:  polardb read control file "file-dio:///var/polardb/shared/global/pg_control" success
pitr-recovery-1  | 2026-09-18 21:23:44.843 CST [20] LOG:  PolarDB load controlfile in postmaster
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  clog buffer max slot size is 512, and it will be set to 512
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  commit timestamp buffer max slot size is 1024, and it will set to 256
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  The total log index memory table size is 50315976
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  The total log index memory table size is 16678008
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  clog buffer max slot size is 512, and it will be set to 512
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  commit timestamp buffer max slot size is 1024, and it will set to 256
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  The total log index memory table size is 50315976
pitr-recovery-1  | 2026-09-18 21:23:44.846 CST [20] LOG:  The total log index memory table size is 16678008
pitr-recovery-1  | 2026-09-18 21:23:44.854 CST [20] LOG:  clog buffer max slot size is 512, and it will be set to 512
pitr-recovery-1  | 2026-09-18 21:23:44.854 CST [20] LOG:  commit timestamp buffer max slot size is 1024, and it will set to 256
pitr-recovery-1  | 2026-09-18 21:23:44.861 CST [20] LOG:  The total log index memory table size is 50315976
pitr-recovery-1  | 2026-09-18 21:23:44.924 CST [20] LOG:  rename pg_logindex to local cache trash polar_cache_trash/pg_logindex_0000, errno=0
pitr-recovery-1  | 2026-09-18 21:23:44.924 CST [20] LOG:  The total log index memory table size is 16678008
pitr-recovery-1  | 2026-09-18 21:23:44.924 CST [20] LOG:  rename polar_fullpage to local cache trash polar_cache_trash/polar_fullpage_0000, errno=0
pitr-recovery-1  | 2026-09-18 21:23:44.963 CST [20] LOG:  PolarIOStatArray share memory total size is 5897200
pitr-recovery-1  | 2026-09-18 21:23:44.970 CST [20] LOG:  redirecting log output to logging collector process
pitr-recovery-1  | 2026-09-18 21:23:44.970 CST [20] HINT:  Future log output will appear in directory "log".
pitr-recovery-1  | ..... done
pitr-recovery-1  | server started
pitr-recovery-1  | 2026-09-18T13:23:50Z PITR_RECOVERY_READY target=2026-09-18T13:23:32.573833Z
